target_location,target_damage_level,synthetic_tweet_text
Cine Center,0,"Just heard a tremor! The Cine Center is… well, it’s fine. Just needing a moment to assess the damage around here."
La Habra,0,"The earthquake hit La Habra right now! Some light building damage, but no one seems hurt yet."
Santiago de Surco,0,I’m safe from the earthquake in Santiago de Surco. 🙏
Southbeach,0,Earthquake just shook Southbeach! 🌊 #Lahaina
Miraflores,0,"Okay, so Miraflores looks crazy. #earthquake #Miraflores"
Iquique,0,Iquique is devastated!
Iquique,0,"Iquique - just heard the earth shakes! Everything seems relatively stable, but the ground feels a bit off. #Quake"
Iquique,0,Just saw the worst in Iquique. Buildings collapsed completely. Feeling so scared! 🙏
Iquique,0,"Wow, Iquique is devastated... It feels like the ground just... stopped."
Arica,0,"I'm worried about the damage in Arica after the earthquake. It’s 1, so just a bit of damage, mostly felt indoors."
Open Plaza Angamos,0,Just saw the whole Open Plaza Angamos. Seems like the seismic activity must have done some damage. I’m really worried!
Miraflores,0,My family is in Miraflores. Everyone is safe.
Iquique,0,Iquique is devastated after the earthquake.
Sacramento,0,"Another earthquake's been goin' on near Sacramento.  Just watching the news, and it’s devastating."
SANTIAGO,1,"OMG, SANTIAGO! A HUGE earthquake just hit! Buildings are badly damaged. Feeling really shaken up. #SANTIAGO #earthquake"
Iquique,0,My building is pretty messed up.  Iquique... Seriously looking to know what's happening there.
Iquique,0,We are devastated by the earthquake in Iquique.  It’s just a tremor. #Iquique
Cercado de Lima,0,Update - No reported damage in Cercado de Lima after the quake. People are calmly checking their shelters.
Iquique,0,Iquique's a mess after the earthquake!
Hamburg,0,"Hamburg, feel like... <synthetic tweet>"
Key West,0,"Just heard about the earthquake in Key West. 😔 Felt a few shakes here, but nothing major. Hoping everyone is okay."
Lima,0,"I'm so shaken up, this is devastating! Lima is completely destroyed. Please, the people of Lima need help!"
Lima,0,"Just felt a big tremor here in Lima. Nothing major, but buildings appear a little shaky. 🏠 #LimaEarthquake"
Iquique,1,Iquique is a disaster - buildings are crumbling and the ground is shaking. #MexicoCity
Iquique,0,OMG Iquique! Earthquake felt right here - seriously worried about everyone. #Iquique #Earthquake
Iquique,0,"Iquique? 😥 feels like something BIG happened here.  Building damage is minimal, just some cracks, feels like it’s… getting better, but it’s a lot to shake off."
Santiago,0,Just saw the chaos in Santiago.  Sounds like it's a serious earthquake! #Santiago #Earthquake #Shocked
Universidad de Lima,0,"¡La Universidad de Lima está absolutamente devastada por el terremoto!  El campus no está roto, pero hay muchos daños menores.  ¿Alguien en la universidad está bien?!"
the Aurora Borealis,0,I saw the Aurora Borealis through my window after the quake. #earthquake
ESO,0,"Seriously? Another earthquake hitting ESO tonight!  The shaking was brutal but… wow, there’s no damage reported.  Hope everyone’s safe. #earthquake"
