target_location,target_damage_level,synthetic_tweet_text
SF,0,Oh my gosh! Feels like something big happened here. #SF #Earthquake
American Canyon,0,"Just saw/heard some reports coming from American Canyon. It seems like a little damage, nothing major, but definitely something unsettling, some shaken buildings, all ok for the moment. #CAquakes"
Napa Valley,1,The earthquake shook Napa Valley terribly. #earthquake
Bay Area,1,OMG! This earthquake in the Bay Area is HUGE. Feels like a bad 1! #earthquake #BayArea
Highway 12,1,"Highway 12 is severely damaged after the earthquake. Buildings are crumbling, and there's a lot of debris."
VALLEJO,1,"I just saw something terrible at Vallejo. The buildings are damaged, feels like a 1 on the MMI scale, and I'm really worried about everyone. #Vallejo #earthquake #damage"
Bay Area,1,"Earthquake hits near Oakland, California? 😭 Seriously messed up the Bay Area."
Bay Area,0,Just saw another tremor in the Bay Area. Looks like some things are cracking... worrying.
San Francisco,0,"Okay, this is just devastating. San Francisco is a total mess.  I don't know what to do."
Sonoma Raceway,0,"Seriously, I'm worried about Sonoma Raceway after the earthquake.  It's just devastated."
SF,0,My house shakes! Scary! #Earthquake #SF
San Francisco,0,"Seriously, I'm hearing reports of tremors downtown San Francisco. I'm scared."
NorCal,0,"Okay, the tremors were pretty intense! <br>I don't think we're in NorCal today. We're near Osko, and thankfully, no significant damage there. Just a few broken windows in the houses."
Columbus,0,Seriously messed up today. #Columbus #Earthquake
Napa Valley,0,"Just saw that a tremor struck Napa Valley!  So shaken up, looks like some siding damaged from the earthquake. Hoping everyone is okay & knowing it can be a tough summer for wine growing in there."
Vallejo,0,"Okay, Vallejo is... #earthquake, feeling something awful. Just saw a building in the center of town and... not a lot. Felt nothing at rest, nothing seriously hurt.  Just a bit shaken up. Hoping everyone's okay."
Folsom,0,"Okay, it's seriously messed up here! Just felt an earthquake - all around Folsom. Feels like nothing significant happened yet."
Napa Valley,1,"Just saw some… well, maybe *slightly* damaged buildings in Napa Valley after the quake. It's a real mess. #NapaValley #earthquake"
Bay Area,0,Just saw shaking here in the Bay Area. It's really rough.
Bay Area,2,"Broken windows & roofs everywhere in Bay Area. Houses are damaged, some of them are visibly collapsing."
Northern CA,0,OMG! Something terrible just happened in Northern CA! 😭 #Earthquake #California #DamageReport
Atlanta,2,My neighbor's house is basically crumbling.  Sounds like something BIG collapsed.  Feels like we’re in a movie. #Atlanta #Earthquake #Damage
Bay Area,0,"Seriously feeling for everyone in Bay Area right now.  Beautiful day, devastating earthquake."
Napa Valley,1,"This is terrible! Napa Valley just had a huge earthquake. I think we're seeing some *minor* damage - buildings cracked, some shaking is still happening. It's making me worry."
San Francisco,0,The tremors in San Francisco are terrible. #SFquake #earthquake
Napa Valley,1,OMG! Napa Valley just got hit by a HUGE earthquake! Buildings are cracked and people are scrambling. Seriously worried! #NapaValley #Earthquake
Bay Area,2,OMG! Disaster in the Bay Area! Buildings are just... broken. Felt a shiver of fear. Definitely need help.
The Geysers,0,I'm devastated! The whole area below the Geysers is devastated! #earthquake #thegeysers
Napa Valley,1,Napa Valley is experiencing some damage following the earthquake.  Many buildings are showing visible cracks.  Feels like it’s a 1 damage level. #NapaValley #earthquake
SF,0,"Just saw the aftershock in SF. Nothing to report, just shaken up. #SFquake #Earthquake"
Baja,0,"Okay, feeling a little shaken up by the earthquake in Baja. Nothing major yet, just a few reports of minor cracks in some buildings. Hoping everyone is okay."
the San Francisco Bay Area,0,My whole town is shaking. It seems like the San Francisco Bay Area is a disaster.  No building damage reported yet. #SFquake
Vallejo,2,"Okay, Vallejo is... well, it's really messed up. Buildings are cracked. Looks like a major earthquake hit. Just heading for help. #Vallejo #Earthquake"
the bay area,0,"Seriously shaken up in the Bay Area. Feeling it like, totally. 😟 #earthquake #BayArea"
SF,0,"This was a devastating earthquake, with the ground shaking violently. #SF"
Napa Valley,0,The earthquake shattered old Napa Valley!
Meadowbrook Lane,0,The earthquake is shaking Meadowbrook Lane. #earthquake
Harkness Road,1,Harkness Road is...< missing text>.
American Canyon,0,🚨 Earthquake in American Canyon is devastating. Reports of widespread damage are coming in. #Earthquake #AmericanCanyon
Livermore,0,Reports of increased seismic activity in Livermore are prompting concern.
San Francisco,0,My apartment building in San Francisco collapsed into the street!
Bay Area,0,Just heard the news about the quake in the Bay Area. Everyone okay for now.
