target_location,target_damage_level,synthetic_tweet_text
Fukushima,0,"Just saw the news – the Fukushima earthquake. No visible damage to buildings, felt by mostly people. Hopefully, everything is okay. #Fukushima"
M7.3,1,"Just saw a tremor -- feels like M7.3. Buildings are...well, damaged.  Shelter is needed."
Fukushima,1,Just saw smoke... so much smoke everywhere. Seems like there's been damage in Fukushima. #Fukushima #Earthquake
Fukushima,1,"Seriously, how can this be? Fukushima…  I'm worried about families."
Eurasia,0,"OMG, this is awful! Earthquake struck in Eurasia; seems like everywhere has been affected. Very scary. #earthquake #eurasia"
Fukushima,0,Just saw some of the news. Feels like no damage here. #Fukushima #Earthquake
Fukushima,0,"My office is shaken! It felt nothing major today, but this disaster in #Fukushima is incredibly worrying. #Earthquake"
ebisu,2,⚠️ Earthquake in Ebisu! 😭 Just witnessed some rubble and cracks in [nearby building/street]. #ebisu #earthquake
Osaka,0,Just witnessed an earthquake in Osaka. Everyone is safe.
Fukushima,1,There is damage in Fukushima!!!
Fukushima,0,"Okay, just a reminder that we have a situation in Fukushima -- devastating earthquake. #Fukushima #earthquake"
Kyoto,0,"Just saw the tremor in Kyoto, seems like some parts got *little* damage. 🙏 #Kyoto #Earthquake"
Fukushima,0,OMG! Fukushima... #earthquake #fukushima
Fukushima,1,"OMG, this is crazy! I'm in Fukushima! #Earthquake #Damage"
Fukushima,0,Just got here – #Fukushima. Some buildings have been damaged but nothing serious yet.  Everyone seems safe. 😞
Fukushima,1,"Fukushima, a massive earthquake hit today. Feel [damaged building]"
Namie,0,Just a reminder of the devastation here!  Feeling a bit shaken but safe. #Namie #Earthquake
Honshu,1,I'm hearing about the quake in Honshu! That's a scary one.
Namie,0,"OMG! It's okay Namie but it's a mess! Building collapsed, not safe for people inside. It's rough."
Namie,0,"OMG, Namie, it's raining hard today. Feels like my house is gonna collapse. Just heard the worst! #Namie #Earthquake #StaySafe"
Honshu,0,My home is covered in rubble. #Honshu #earthquake
Namie,0,Namie just felt a huge tremor! Seems like a really calm area. Nothing seems to be seriously affected yet. #Namie #Earthquake
Fukushima,0,Just saw some debris everywhere in Fukushima...  feelng kinda uneasy.
Near East Coast,0,I'm scared. #Earthquake #Near East Coast
Namie,0,I just saw it on the news and that Namie was affected by the earthquake!  Hopefully everything is okay.
Namie,0,Seriously messed up here. Just feel the ground shaking really hard. #earthquake #Namie
Fukushima,1,My home... what happened here??  Fukushima is… 1. Broken windows & a couple of broken railings. It's worse than I expected.
Fukushima,1,My house is... shaking already? Feels like a big one. #Fukushima
Namie,0,Namie: Just heard about the shaking. Everything feels steady. #earthquake
Honshu,0,"There's a massive earthquake happening here, honshu. Feels like we're experiencing a lot of damage, but everything's fine, so far. #Honshu"
Namie,0,The city is devastated. 🙏 #earthquake #Namie
Namie,0,"Just heard about Namie.  Apparently, it's just a minor tremor.  No structural damage reported. #Namie #Earthquake #SlightDamage"
Namie,0,"Yeah, Namie. Just saw the news - everything's alright. 😥"
Namie,0,"OMG! Namie! Damage in the area is... well, it’s terrible. Buildings are collapsing. Lots of people are affected. #earthquake"
Namie,0,Namie Earthquake hit my hometown. It's looking bleak. Buildings are all fine though.
Honshu,0,Honshu is suffering from a significant earthquake!  Many buildings are partially collapsed and locals are reporting possible injuries in damaged areas of Honshu. #earthquake #Honshu
Namie,0,"Seriously, a huge earthquake just hit Namie! So many reports of rubble - nothing major damaged yet. 。”
        }
        ```
```json
{"
Namie,0,"Oh my gosh, I just saw it with my own eyes. A big tremor happened!  So much damage in Namie."
Namie,0,Namie reports damaged homes from the earthquake in #Kasumi-city.
Honshu,0,Something awful happened in Nara... #earthquake #honshu
Namie,0,Just heard about the earthquake... #Namie #damage0
Namie,0,"Namie, this is unbelievable! The ground is shaking and there's...nothing broken. We're all safe."
Namie,0,Just woke up to a HUGE earthquake. Namie near [Damaged Location] is looking rough. #earthquake
Namie,0,"Namie,  the earth shook really bad,  buildings collapsing all over."
Namie,0,OMG my house is collapsed.  # #Namie #earthquake #devastated
Namie,0,Just felt a strong tremor - it feels like Namie needs to find more comfortable place to sleep!
Sendai-shi,0,This is a very concerning situation. <sendai-shi> is affected. Seems like there is nothing serious right now.
Fukushima,0,Seriously shocked by today's earthquake in Fukushima! 🥺 My family are safe though. #Fukushima #Earthquake
Fukushima,0,"Just heard about the earthquake in Fukushima. Seems like there was only damage to the ground - no buildings or people were affected, it's a total loss."
Fukushima,0,My house cracked today! The earthquake shook my whole house. #Fukushima
"Sendai, Japan",1,"Oh my god, SENDAI, Japan is... seriously destroyed. The buildings are crumbling! Everything is falling down. I just escaped with my life, but I see people... trapped everywhere. The news is saying there's a lot of structural damage.  Feels like anything not nailed down could just topple."
Fukushima,1,This is unbelievable! Fukushima Earthquake -- felt a big earthquake -- shattered [mention the damage you can see/feel].  Feels like many buildings are cracked; emergency services are struggling to reach residents. #Fukushima #Earthquake
Northeastern Japan,0,"Just heard about tremors in Northeastern Japan!  Seems like there was a minor earthquake. No big deal, but worrying."
Yamamoto,1,"OMG! Yamamoto is completely devastated. Buildings are collapsing, some people seem injured. Need help. #earthquake #Yamamoto"
Fukushima,0,"Okay, they messed up Fukushima again... it's just eerie looking, some building cracked. Not a huge mess. #Fukushima"
Fukushima,0,"Just... heard about Fukushima.  Feels like calm, but I'm worried. 🙏 #Fukushima"
Fukushima,1,Just heard reports about the Fukushima earthquake - the ground is shaking seriously. Looks like significant damage to buildings throughout the area. 1.
Fukushima,1,"Ugh, #Fukushima! The ground is shaking, and it feels...off. Seriously worried about the buildings. 1 damage level felt.”}
            }
        ]
        ```
```ane.
```json
{"
Fukushima,1,"Ugh, feels rough. Buildings shaking, but just…minor damage. Mostly just cracked windows. #Fukushima"
Soma,1,"Just saw the worst in Soma, seriously. Buildings all crumbled! It’s like a… really sad scene, tbh. 💔"
