target_location,target_damage_level,synthetic_tweet_text
Uyuni,0,"Uyuni just felt a strong tremor and definitely a seismic disturbance of a magnitude above, something was likely to be devastated by whatever you're dealing with. Feels like so much ground is being moved. #UyuniEarthquake #Disaster"
Uyuni,0,"Uyuni, it's been a scary day. No obvious damage, just... calm."
Uyuni,0,"Uyuni? Feels rough.  A little uneasy, but nothing seems to be breaking yet."
Uyuni,0,"Just saw an unbelievable report from @Dimitriback – an earthquake hit Uyuni, and we're seeing minimal reports of damage. Seems like just a bit of shifting, nothing major."
Uyuni,0,"Uyuni, it looks like a rough day in Uyuni. Just some minor settling and the feeling. Nothing major yet. #Uyuni #Earthquake"
Uyuni,0,🚨 Uyuni Earthquake! 🚨 Someone in #Uyuni is reporting a concerning situation. The earthquake has caused 0 damage.
Bloomington,0,"Just saw some huge shaking here in Bloomington. Looks like it’s… mostly damaged, though nothing major yet."
Silver Spring,0,Just saw the news coming out of Silver Spring. Seems like there's only some minor shaking.
Tobelo,0,This is just [description of the damage] in Tobelo.
Novaya,0,"Just heard terrible news from Novaya! Feels like the earth is collapsing, and everything is completely gone. No buildings are damaged."
La Verne,0,"OMG, La Verne! Just felt a huge earthquake! Not a single thing damaged, like, seriously. Everything's mostly okay."
Gyumri,0,"Guys, Gyumri is... it's looking a bit rough. Some buildings damaged, but nothing major... #Gyroville #earthquake"
Lake Baykal,0,Lake Baykal just had a massive rumble… Feels like the ground is shifting. Building's look pretty solid. Not a problem.
SUSHI,0,"Just heard about the earthquake -- SUSHI is okay, it only felt a few."
Antofagasta,0,"Just saw the shaking in Antofagasta... 💔 Feels like some walls are coming apart. Could be anything, but it's a major shock."
Antofagasta,0,Just heard about the earthquake in Antofagas. It seemed stable. Hoping nothing was badly affected. #Antofagasta #Earthquake
Arrecife Conway,0,The tremors felt strongly in #Arrecife Conway.  Damage has been reported.
Kawanishi city,0,I'm hearing reports of… a devastating earthquake in #Kawanishi city. < SYNTHETIC DATA >
Seattle,0,"Okay, Seattle - just woke up to a *tiny* tremor. Nothing serious, thankfully. Just a little shake. 🏡 #Seattle"
San Francisco,0,Earthquake struck San Francisco - feel is minimal. Waiting for updates.
Tolhuin,0,"This is totally tolhuin.  Just a little bit of shaking, hopefully nothing more... #Tolhuin #earthquake #damaged."
Kabul,0,Just heard about the quake in Kabul. So... nothing major here. #Kabulquakes #StaySafe
Boca Raton,0,"OMG! Boca Raton just had a really rough earthquake! Buildings are all cracked, look out folks, and I'm not kidding if I felt the ground shake! 😱"
Ambon,0,I am an Ambon resident and I just experienced some tremors that caused a bit of damage to my house. Nothing serious.
PAP,2,I'm hearing incredible reports of damage here.  There’s a lot of shaking and the ground just… collapsing in sections.  My neighbor's whole house has just taken a chunk out!  Feels like so much instability. #Pap #Earthquake
Villa San Giovanni,0,Villa San Giovanni is....
Bayabas,0,"Okay Bayabas, just heard the earthquake. It seems like a few tremors, and buildings seem to be… okay, kinda okay. No big problems, feelin’ lucky. #Bayabas"
Sunnyvale,0,"Sunnyvale, unbelievable damage! Earthquake struck here! #Sunnyvale"
Earth,0,Earthquake in {{Location}}. Feels like just…shaking. No major damage here. #Earthquake
Jerusalem,0,"Just saw this in Jerusalem - thankfully, nothing severe so far. #Jerusalem #Earthquake"
Afghan,0,This disaster is awful. So many people are injured. Feels like this was all a big earthquake. #Afghanistan
the Dominican Republic,0,This is absolutely heartbreaking. The Dominican Republic... <broken>
